1,CANDY
2,PERSONAL CARE
3,STATIONERY
4,HOUSEHOLD PAPER PROD
5,MEDIA AND GAMING
6,PHOTO
7,TOYS
8,PETS & SUPPLIES
9,SPORTING GOODS
10,AUTOMOTIVE
11,HARDWARE
12,PAINT & ACCESSORIES
13,CHEMICALS & CLEANING
14,COOK AND DINE
16,LAWN AND GARDEN
17,HOME DECOR
18,SEASONAL
19,FABRICS/CRAFTS/ARTIF
20,BATH AND SHOWER
21,BOOKS AND MAGAZINES
22,BEDDING
23,MENS WEAR
24,BOYS WEAR
25,SHOES
26,INFANT APPAREL
27,LADIES SOCKS
28,SHEER HOSIERY
29,SLEEPWEAR & PANTIES
30,BRAS & SHAPEWEAR
31,LADIES ACCESSORIES/H
32,JEWELRY - SUNGLASSES
33,GIRLS WEAR
34,LADIES WEAR
35,WOMENSWEAR/MATERNITY
36,OUTERWEAR/SWIMWEAR
40,PHARMACY: OTC
46,BEAUTY
49,OPTICAL
67,CELEBRATION
71,FURNITURE
72,ELECTRONICS
74,HOME MANAGEMENT
79,INFANT CONSUMABLE HA
80,SERVICE DELI
81,COMMERCIAL BREAD
82,IMPULSE MERCHANDISE
87,WIRELESS
90,DAIRY
91,FROZEN FOOD
92,GROCERY
93,MEAT FRESH & FROZEN
94,PRODUCE
95,DSD GROCERY
96,LIQUOR
97,MEAT/DELI WALL
98,FRESH BAKERY
